TITULO_FILME,TITULO_ORIGINAL,TITULO_BRASIL,CPB_ROE,PAIS_OBRA,titulo,generos,diretores,pais,duracao,poster
SONIC 3 - O FILME,SONIC THE HEDGEHOG 3,SONIC 3 - O FILME,E2400387600000,ESTADOS UNIDOS,SONIC 3 - O FILME,,,,,
O AUTO DA COMPADECIDA 2,O AUTO DA COMPADECIDA 2,,B2400470400000,BRASIL,O AUTO DA COMPADECIDA 2,,,,,
